"Interest","Inflation","InflationChange","InterestChange"
21.09,10.8,0,-3.63
17.46,10.8,0.199999999999999,0.0599999999999987
17.52,11,-0.9,-0.559999999999999
16.96,10.1,-0.5,-2.52
14.44,9.6,-0.699999999999999,-1.41
13.03,8.9,-0.5,0.100000000000001
13.13,8.4,-0.800000000000001,2.56
15.69,7.6,-0.8,-1.58
14.11,6.8,-0.3,1.37
15.48,6.5,0.2,-0.200000000000001
15.28,6.7,0.399999999999999,-1.52
13.76,7.1,-0.699999999999999,0.970000000000001
14.73,6.4,-0.5,-3.32
11.41,5.9,-0.9,-0.130000000000001
11.28,5,0.0999999999999996,-0.41
10.87,5.1,-0.5,-1.44
9.43,4.6,-0.8,-0.33
9.1,3.8,-0.0999999999999996,2.1
11.2,3.7,-0.2,-2.57
8.63,3.5,0.1,0.0199999999999996
8.65,3.6,0.3,0.469999999999999
9.12,3.9,-0.4,-0.279999999999999
8.84,3.5,-0.9,0.540000000000001
9.38,2.6,-0.1,-0.0700000000000003
9.31,2.5,0.1,0.33
9.64,2.6,0.3,-0.0300000000000011
9.61,2.9,0,0.98
10.59,2.9,0.4,-1.14
9.45,3.3,0.5,0.0100000000000016
9.46,3.8,0.4,0.459999999999999
9.92,4.2,0.399999999999999,-0.18
9.74,4.6,0.2,-0.00999999999999979
9.73,4.8,-0.2,0.51
10.24,4.6,-0.399999999999999,0.799999999999999
11.04,4.2,0,-0.51
10.53,4.2,0,0.32
10.85,4.2,0.0999999999999996,1.19
12.04,4.3,0,-0.399999999999999
11.64,4.3,0,-0.26
11.38,4.3,-0.2,-1.12
10.26,4.1,-0.2,-1.34
8.92,3.9,-0.4,-0.18
8.74,3.5,0,0
8.74,3.5,0.2,0
8.74,3.7,0,0.0899999999999999
8.83,3.7,0.0999999999999996,0
8.83,3.8,0,-1.19
7.64,3.8,-0.2,0.48
8.12,3.6,-0.3,0.140000000000001
8.26,3.3,-0.2,-0.46
7.8,3.1,0.1,0.46
8.26,3.2,0.3,0.0600000000000005
8.32,3.5,0.3,0.219999999999999
8.54,3.8,0.1,4.92
13.46,3.9,-0.8,-5.37
8.09,3.1,-0.8,-0.14
7.95,2.3,-0.7,-0.46
7.49,1.6,-0.1,-0.36
7.13,1.5,0.3,-0.29
6.84,1.8,-0.2,0.13
6.97,1.6,0,-0.59
6.38,1.6,0.2,-0.61
5.77,1.8,-0.3,0.220000000000001
5.99,1.5,-0.2,-0.0600000000000005
5.93,1.3,-0.2,0.45
6.38,1.1,0.4,7.97
14.35,1.5,0.6,-8.07
6.28,2.1,0.9,-0.260000000000001
6.02,3,0.8,0.2
6.22,3.8,0.1,1.45
7.67,3.9,-0.2,-0.93
6.74,3.7,0.2,-0.67
6.07,3.9,0.4,0.68
6.75,4.3,0.100000000000001,0.0899999999999999
6.84,4.4,0.0999999999999996,0.87
7.71,4.5,0,-1.09
6.62,4.5,-0.0999999999999996,0.42
7.04,4.4,-0.4,-0.15
6.89,4,-0.1,0.0700000000000003
6.96,3.9,0,-0.3
6.66,3.9,0,0.04
6.7,3.9,0,0.28
6.98,3.9,0.1,0.26
7.24,4,0.0999999999999996,0.51
7.75,4.1,-0.0999999999999996,0.16
7.91,4,0.2,0.359999999999999
8.27,4.2,0,0.27
8.54,4.2,0,-0.19
8.35,4.2,0.2,0.19
8.54,4.4,0.3,0.5
9.04,4.7,0.0999999999999996,-0.0199999999999996
9.02,4.8,0.2,0.800000000000001
9.82,5,0.0999999999999996,-0.0300000000000011
9.79,5.1,0.300000000000001,0.0600000000000005
9.85,5.4,-0.2,-0.00999999999999979
9.84,5.2,-0.2,-0.209999999999999
9.63,5,-0.3,-0.680000000000001
8.95,4.7,-0.4,-0.0199999999999996
8.93,4.3,0.2,0.31
9.24,4.5,0.2,-0.26
8.98,4.7,-0.100000000000001,-0.470000000000001
8.51,4.6,0.600000000000001,-0.54
7.97,5.2,0.0999999999999996,0.28
8.25,5.3,-0.0999999999999996,0.0500000000000007
8.3,5.2,-0.5,0
8.3,4.7,-0.3,-0.190000000000001
8.11,4.4,0.3,0.17
8.28,4.7,0.0999999999999996,0.0400000000000009
8.32,4.8,0.8,-0.25
8.07,5.6,0.600000000000001,-0.00999999999999979
8.06,6.2,0.0999999999999996,0.19
8.25,6.3,0,-0.19
8.06,6.3,-0.2,-0.45
7.61,6.1,-0.399999999999999,-2.08
5.53,5.7,-0.4,0.77
6.3,5.3,-0.399999999999999,0.0499999999999998
6.35,4.9,0,0.130000000000001
6.48,4.9,0.0999999999999996,-0.58
5.9,5,-0.3,0.0199999999999996
5.92,4.7,-0.3,0.46
6.38,4.4,-0.600000000000001,-0.52
5.86,3.8,-0.4,-0.36
5.5,3.4,-0.5,-0.0999999999999996
5.4,2.9,0.1,-0.37
5.03,3,0.1,-0.17
4.86,3.1,-0.5,-0.77
4.09,2.6,0.2,0.31
4.4,2.8,0.4,-0.27
4.13,3.2,0,0.850000000000001
4.98,3.2,-0.2,-1.23
3.75,3,0.1,0.21
3.96,3.1,0.1,-0.0699999999999998
3.89,3.2,-0.1,-0.52
3.37,3.1,-0.1,0.02
3.39,3,0.2,0.19
3.58,3.2,-0.2,-0.54
3.04,3,-0.1,0.13
3.17,2.9,0.4,-0.51
2.66,3.3,-0.0999999999999996,0.59
3.25,3.2,-0.1,0.4
3.65,3.1,0.1,-0.34
3.31,3.2,0,-0.3
3.01,3.2,-0.2,0.32
3.33,3,-0.2,-0.0600000000000001
3.27,2.8,0,-0.2
3.07,2.8,-0.0999999999999996,0.18
3.25,2.7,0.0999999999999996,-0.0600000000000001
